name,price
NOB San Jeronimo," $5,375,100 "
Residencial The Limited," $26,622,000 "
Cantara Residencial," $2,360,000 "
Dos Vistas," $5,149,000 "
Residencial Vive Lago," $1,260,000 "
Torre CADU Delta," $2,272,862 "
ANDRES MOLINA," $1,736,180 "
Residencial Altavitta," $5,250,000 "
PROYECTO ELÁBITA," $2,555,000 "
Ciento 3 Pennsylvania," $4,021,120 "
San Miguel de Allende," $9,101,855 "
Enksa Lindavista," $2,855,818 "
NOVA HABITA SAN PEDRO DE LOS PINOS," $2,182,174 "
Agricultura 49," $5,140,000 "
NOB San Jeronimo," $5,375,100 "
Residencial The Limited," $26,622,000 "
Coyoacan 1424," $3,408,985 "
Comercio 44," $5,300,000 "
San Antonio 95," $4,555,278 "
Balbuena Residencial," $2,960,000 "
Villa Fiori," $7,200,000 "
Torre Cadu Oasis," $4,980,275 "
Punto Cero," $2,588,813 "
HACIENDA GUADALUPE," $1,000,000 "
Residencial Parques Guadalajara," $1,056,000 "
Garden Altos Juriquilla," $3,065,000 "
PUERTA TLALNEPANTLA," $1,750,000 "
ELITE MAREA," $6,818,000 "
Living Del Valle," $4,381,060 "
Cosmocrat Interlomas," $3,740,000 "
Santa Fe Living SA de CV," $1,650,000 "
VITALA RESIDENCIAL," $2,200,000 "
